UniversityName,tuition,patent,score,year
Tufts University,54318,84,51.22,2015
Portland State University,21180,481,44.68,2014
Portland State University,21180,484,44.41,2015
George Mason University,34370,637,45.4,2014
George Mason University,34370,526,45.13,2015
University of Georgia,30392,128,47.75,2014
University of Georgia,30392,82,47.5,2015
Northern Illinois University,23817,481,44.82,2014
Northern Illinois University,23817,621,44.44,2015
West Virginia University,23616,637,45.39,2014
West Virginia University,23616,617,45.02,2015
University of Denver,48669,552,45.16,2014
University of Denver,48669,760,45.08,2015
University of Toledo,18578,373,44.66,2014
University of Toledo,18578,220,44.53,2015
University of New Mexico,22412,149,48.36,2014
University of New Mexico,22412,100,47.95,2015
University of California--Merced,41612,338,44.37,2014
University of California--Merced,41612,491,44.09,2015
Dartmouth College,52950,92,48.5,2012
Dartmouth College,52950,78,46.04,2013
Dartmouth College,52950,74,58,2014
Dartmouth College,52950,63,56.35,2015
University of Illinois--Chicago,27672,170,47.63,2014
University of Illinois--Chicago,27672,129,47.39,2015
Southern Illinois University--Carbondale,13936,588,44.53,2015
University of North Texas,23716,426,44.59,2014
University of North Texas,23716,554,44.27,2015
University of Missouri--St. Louis,27327,552,44.62,2014
University of Arkansas,24308,409,44.62,2015
