displayName,sat,act,state,lat,lng,rank,hsGPA,acceptRate,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,control
University of Memphis,890,19,TN,35.1,-90,-1,3.4,94,None,2.7,2.1,21413,17176,None,None,public
University of Missouri--St. Louis,940,21,MO,38.63,-90.24,-1,3.4,71,None,2.6,2.7,27327,13923,None,None,public
University of Nebraska--Omaha,930,19,NE,41.26,-96.01,-1,3.4,86,None,2.6,None,22035,12536,None,None,public
University of Nevada--Las Vegas,900,19,NV,36.08,-115.14,-1,3.3,83,None,2.5,2.2,21498,24714,None,None,public
University of New Orleans,950,20,LA,30.06,-89.93,-1,3.2,60,None,2.4,None,13530,6442,None,None,public
University of North Carolina--Greensboro,910,21,NC,36.07,-79.82,-1,3.8,74,None,2.6,None,22410,16281,None,None,public
University of Northern Colorado,930,19,CO,40.42,-104.74,-1,3.3,90,None,2.3,None,20474,9503,None,None,public
University of North Texas,980,20,TX,33.21,-97.13,-1,None,72,None,2.4,None,23716,31209,None,None,public
University of South Alabama,875,20,AL,30.68,-88.04,-1,3.5,80,None,2.1,2.6,19586,11761,None,None,public
University of Southern Mississippi,940,20,MS,31.31,-89.3,-1,3.3,60,None,2.2,None,9854,11779,None,None,public
University of Texas--Arlington,950,20,TX,32.69,-97.12,-1,None,70,None,2.7,2.4,25152,32775,None,None,public
University of Texas--El Paso,810,17,TX,31.84,-106.43,-1,3.2,100,None,2.3,2.1,21396,20521,None,None,public
University of Texas--Rio Grande Valley,850,18,TX,26.29,-98.16,-1,None,63,None,None,2.1,17230,24433,None,None,public
University of Texas--San Antonio,920,20,TX,29.45,-98.5,-1,None,76,None,2.4,2.1,23379,24724,None,None,public
University of the Cumberlands,860,19,KY,36.73,-84.16,-1,3.5,71,None,None,None,23000,3082,None,None,private
University of Toledo,920,20,OH,41.66,-83.58,-1,3.4,94,None,2.3,2.1,18578,16247,None,None,public
University of West Florida,930,21,FL,30.44,-87.18,-1,3.6,41,None,None,2.1,18628,10082,None,None,public
University of West Georgia,870,18,GA,33.58,-85.07,-1,3.2,59,None,2.0,None,20406,11155,None,None,public
University of Wisconsin--Milwaukee,None,20,WI,43.06,-87.96,-1,3.1,72,None,2.8,2.4,19851,21375,None,None,public
Valdosta State University,890,19,GA,30.84,-83.27,-1,3.2,65,None,2.1,None,17196,8780,None,None,public
Wichita State University,915,21,KS,37.68,-97.34,-1,3.4,92,None,2.3,2.2,17270,11823,None,None,public
Wright State University,930,18,OH,39.77,-84.19,-1,3.3,95,None,2.3,2.2,17350,12504,None,None,public
Alliant International University,None,None,CA,32.89,-117.07,-2,2.8,None,None,None,None,17510,1264,None,None,private
Argosy University,None,None,CA,33.78,-117.86,-2,None,None,None,None,None,13152,None,None,None,proprietary
California Institute of Integral Studies,None,None,CA,37.77,-122.41,-2,None,None,None,None,None,28467,None,None,None,private
Capella University,None,None,MN,44.96,-93.26,-2,None,None,None,None,None,13998,None,None,None,proprietary
Idaho State University,None,None,ID,42.87,-112.46,-2,None,None,None,2.4,2.1,21023,None,None,None,public
Northcentral University,None,None,AZ,34.66,-112.29,-2,None,None,None,None,None,10368,133,None,None,proprietary
Trident University International,None,None,CA,33.81,-118.03,-2,None,96,None,None,None,9000,None,None,None,proprietary
Union Institute and University,None,None,OH,39.09,-84.51,-2,None,None,None,None,None,12416,None,None,None,private
University of Phoenix,None,None,AZ,33.43,-112.01,-2,None,None,None,None,None,9690,None,None,None,proprietary
Walden University,None,None,MN,44.96,-93.26,-2,None,None,None,None,None,12075,None,None,None,proprietary
Wilmington University,None,None,DE,39.66,-75.57,-2,None,100,None,None,None,10940,8873,None,None,private
