displayName,rank,overall,business,engineer,tuition,enrollment,aidPercent,costWithAid,control
Pennsylvania State University--University Park,52,63,3.7,3.7,33664,41359,14,41789,public
University of Illinois--Urbana-Champaign,52,63,3.8,4.4,31988,33932,9,35977,public
Ohio State University--Columbus,54,62,3.8,3.5,29659,45831,9,37032,public
University of Georgia,54,62,3.6,2.3,30392,27951,13,30943,public
George Washington University,56,61,3.3,2.6,53518,11504,43,37996,private
Purdue University--West Lafayette,56,61,3.6,4.3,28804,30043,16,28383,public
University of Connecticut,56,61,3.2,2.9,36948,19324,33,37427,public
University of Texas--Austin,56,61,4.3,4.1,35766,40168,7,40558,public
University of Washington,56,61,3.6,3.7,35538,30933,20,47746,public
Brigham Young University--Provo,61,60,3.5,2.6,5460,30979,38,13186,private
Fordham University,61,60,3.1,None,50601,9258,None,None,private
Southern Methodist University,61,60,3.2,2.5,52498,6521,24,47874,private
Syracuse University,61,60,3.3,2.6,46755,15218,48,33912,private
University of Maryland--College Park,61,60,3.7,3.6,33606,28472,20,36786,public
Worcester Polytechnic Institute,61,60,2.6,2.9,48628,4432,62,39995,private
Clemson University,67,59,3,3,35654,18599,7,38923,public
University of Pittsburgh,68,58,3.5,3.1,30642,19123,None,None,public
American University,69,57,2.9,None,46615,7901,46,36076,private
Rutgers University--New Brunswick,69,57,3,3.1,30023,36168,13,40121,public
Stevens Institute of Technology,69,57,2.5,2.7,50554,3021,40,51810,private
Texas A&M University--College Station,69,57,3.5,3.9,30208,50735,41,26376,public
University of Minnesota--Twin Cities,69,57,3.8,3.6,26603,34871,23,28170,public
Virginia Tech,69,57,3.2,3.9,29371,25791,None,None,public
Baylor University,75,56,3.1,2.4,43790,14348,53,36761,private
Colorado School of Mines,75,56,None,3.1,37436,4612,21,47042,public
University of Massachusetts--Amherst,75,56,3.2,2.9,33662,23373,35,35445,public
Miami University--Oxford,78,55,3.2,3.1,32768,16981,10,42507,public
Texas Christian University,78,55,3,2.9,44760,8891,35,33953,private
University of Iowa,78,55,3.5,2.9,28813,24476,34,32794,public
Clark University,81,54,2.5,None,44400,2289,62,27702,private
Florida State University,81,54,3.2,None,21673,32929,27,34036,public
Michigan State University,81,54,3.6,3.1,39405,39090,5,47279,public
North Carolina State University--Raleigh,81,54,2.9,3.4,27406,23847,41,25623,public
University of California--Santa Cruz,81,54,None,2.5,42042,16962,18,47616,public
University of Delaware,81,54,3,3,32250,18374,None,None,public
Binghamton University--SUNY,87,53,2.7,2.3,24403,13632,54,29356,public
University of Denver,87,53,2.9,2,48669,5754,40,31393,private
University of Tulsa,87,53,2.5,2.2,39502,3406,15,49957,private
Indiana University--Bloomington,90,52,4.1,None,34845,39184,16,37563,public
Marquette University,90,52,2.9,2.4,39900,8238,55,32894,private
University of Colorado--Boulder,90,52,3.5,3.5,35079,27846,12,41125,public
University of San Diego,90,52,2.8,3.5,47708,5711,48,36861,private
Drexel University,94,51,2.8,3,52002,13251,54,42176,private
Saint Louis University,94,51,2.9,2.2,42166,7454,51,28328,private
Yeshiva University,94,51,2.3,None,42000,2714,46,34756,private
Rochester Institute of Technology,97,50,3.1,2.9,40068,12410,70,31793,private
Stony Brook University--SUNY,97,50,None,2.8,26297,17026,13,34024,public
SUNY College of Environmental Science and Forestry,97,50,None,2,18090,1755,None,None,public
University at Buffalo--SUNY,97,50,3,2.8,26270,20411,28,37040,public
University of Oklahoma,97,50,3.1,2.6,24443,22436,13,35144,public
University of Vermont,97,50,2.6,2.3,41356,11159,48,36399,public
Auburn University,103,49,3.1,3,29640,22658,16,39912,public
Illinois Institute of Technology,103,49,2.3,2.8,45864,2944,62,29116,private
Loyola University Chicago,103,49,3,None,42828,11129,64,38093,private
University of New Hampshire,103,49,2.6,2.3,32637,12871,56,34826,public
University of Oregon,103,49,3.1,None,34611,20049,7,42682,public
University of South Carolina,103,49,3.2,2.4,32362,25556,8,41810,public
University of Tennessee,103,49,3.2,2.9,31160,22139,33,39170,public
Howard University,110,48,2.7,2.2,25697,5899,50,33124,private
University of Alabama,110,48,3.2,2.5,28100,32563,27,26861,public
University of San Francisco,110,48,2.8,None,46250,6745,46,42433,private
University of the Pacific,110,48,2.2,2.9,46346,3483,67,37188,private
University of Utah,110,48,3.2,2.9,26408,23789,11,35873,public
Arizona State University--Tempe,115,47,3.6,3.3,27372,42477,31,37446,public
Iowa State University,115,47,3,3.3,22256,30671,34,27241,public
Temple University,115,47,3.2,2.2,27266,29275,37,35109,public
University of Kansas,115,47,3.2,2.7,26592,19262,30,30962,public
University of St. Thomas,115,47,2.7,3.1,41133,6111,55,34299,private
The Catholic University of America,120,46,None,2,44060,3241,54,35518,private
DePaul University,120,46,3,None,39010,15407,59,42438,private
Duquesne University,120,46,2.6,None,36394,6039,65,29185,private
University of Missouri,120,46,3,2.5,26506,25898,33,27962,public
Clarkson University,124,45,2.5,2.6,47950,3268,79,33669,private
Colorado State University,124,45,2.9,2.8,29140,25177,16,39497,public
Michigan Technological University,124,45,2.1,2.8,32318,5829,28,38217,public
Seton Hall University,124,45,2.8,None,40588,5956,None,None,private
University of Arizona,124,45,3.7,3.1,32449,34072,29,35051,public
University of California--Riverside,124,45,3,2.6,41931,19799,15,41753,public
University of Dayton,124,45,2.5,2.2,41750,8330,46,34204,private
University of Nebraska--Lincoln,124,45,3.2,2.6,23256,20833,21,28968,public
Hofstra University,132,44,2.7,3,43960,6899,61,40205,private
Louisiana State University--Baton Rouge,133,43,2.8,2.5,28051,26118,14,40711,public
Mercer University,133,43,2.2,3,36000,4706,67,26615,private
The New School,133,43,None,None,47330,7014,41,50853,private
Rutgers University--Newark,133,43,2.9,None,29480,8170,26,38949,public
University of Arkansas,133,43,3.2,2.5,24308,22548,16,33514,public
University of Cincinnati,133,43,2.9,2.6,26334,25860,28,35124,public
University of Kentucky,133,43,3,2.5,28046,22621,None,None,public
George Mason University,140,42,3,2.4,34370,23812,39,38588,public
New Jersey Institute of Technology,140,42,2.4,2.6,31034,8211,35,18674,public
San Diego State University,140,42,2.9,2.5,19340,29853,32,31354,public
